Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Noctuidae,Prodotis,stolida,,,,"(Fabricius, 1775)"
Sphingidae,Proserpinus,proserpina,,,,"(Pallas, 1772)"
Noctuidae,Protodeltote,pygarga,,,,"(Hufnagel, 1766)"
Noctuidae,Protolampra,sobrina,,,,"(Duponchel, 1843)"
Psychidae,Proutia,betulina,,,,"(Zeller, 1839)"
Noctuidae,Proxenus,hospes,,,,"(Freyer, 1831)"
Noctuidae,Pseudeustrotia,candidula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Pseudoaricia,nicias,,,,"(Meigen, 1829)"
Psychidae,Pseudobankesia,alpestrella,,,,"(Heinemann, 1870)"
Psychidae,Pseudobankesia,contractella,,,,"Haettenschwiler, 1994"
Nolidae,Pseudoips,prasinana,,,,"(Linnaeus, 1758)"
Geometridae,Pseudopanthera,macularia,,,,"(Linnaeus, 1758)"
Lycaenidae,Pseudophilotes,baton,,,,"(Bergstr\u00e4sser, 1779)"
Geometridae,Pseudoterpna,pruinata,,,,"(Hufnagel, 1767)"
Geometridae,Psodos,quadrifaria,,,,"(Sulzer, 1776)"
Psychidae,Psyche,casta,,,,"(Pallas, 1767)"
Psychidae,Psyche,crassiorella,,,,"(Bruand, 1851)"
Geometridae,Pterapherapteryx,sexalata,,,,"(Retzius, 1783)"
Notodontidae,Pterostoma,palpina,,,,"(Clerck, 1759)"
Alucitidae,Pterotopteryx,dodecadactyla,,,,"H\u00fcbner, 1813"
Psychidae,Ptilocephala,albida,,,,"(Esper, 1786)"
Psychidae,Ptilocephala,plumifera,,,,"(Ochsenheimer, 1810)"
Psychidae,Ptilocephala,pyrenaella,falsevocata,,,"(Bourgogne, 1979)"
Notodontidae,Ptilodon,capucina,,,,"(Linnaeus, 1758)"
Notodontidae,Ptilodon,cucullina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Notodontidae,Ptilophora,plumigera,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Pungeleria,capreolaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Pygmaena,fusca,,,,"(Thunberg, 1792)"
Hesperiidae,Pyrgus,accretus,,,,"Verity, 1925"
Hesperiidae,Pyrgus,alpinus,,,,"(Erschoff, 1874)"
Hesperiidae,Pyrgus,alveus,,,,"(H\u00fcbner, 1803)"
Hesperiidae,Pyrgus,andromedae,,,,"(Wallengren, 1853)"
Hesperiidae,Pyrgus,armoricanus,,,,"(Oberth\u00fcr, 1910)"
Hesperiidae,Pyrgus,bellieri,,,,"(Oberth\u00fcr, 1910)"
Hesperiidae,Pyrgus,cacaliae,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,carlinae,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,carthami,,,,"(H\u00fcbner, 1813)"
Hesperiidae,Pyrgus,cashmirensis,,,,"Moore, 1874"
Hesperiidae,Pyrgus,cinarae,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,cirsii,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,dejeani,,,,"(Oberth\u00fcr, 1912)"
Hesperiidae,Pyrgus,fritillarius,,,,"(Poda, 1761)"
Hesperiidae,Pyrgus,jupei,,,,"(Alberti, 1967)"
Hesperiidae,Pyrgus,malvae,,,,"(Linnaeus, 1758)"
Hesperiidae,Pyrgus,malvoides,,,,"(Elwes & Edwards, 1897)"
Hesperiidae,Pyrgus,melotis,,,,"(Duponchel, [1834])"
Hesperiidae,Pyrgus,oberthueri,,,,"(Leech, 1891)"
Hesperiidae,Pyrgus,onopordi,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,serratulae,,,,"(Rambur, 1839)"
Hesperiidae,Pyrgus,sidae,,,,"(Esper, 1784)"
Hesperiidae,Pyrgus,warrenensis,,,,"(Verity, 1928)"
Noctuidae,Pyrois,cinnamomea,,,,"(Goeze, 1781)"
Noctuidae,Pyrois,effusa,,,,"Boisduval, 1829"
Nymphalidae,Pyronia,cecilia,,,,"(Vallantin, 1894)"
Nymphalidae,Pyronia,tithonus,,,,"(Linnaeus, 1767)"
Sesiidae,Pyropteron,chrysidiformis,,,,"(Esper, 1782)"
Noctuidae,Pyrrhia,umbra,,,,"(Hufnagel, 1766)"
Noctuidae,Quaramia,grisealis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Quercusia,quercus,,,,"(Linnaeus, 1758)"
Psychidae,Rebelia,ferruginans,,,,"Rebel, 1937"
Psychidae,Rebelia,herrichiella,,,,"Strand, 1912"
Psychidae,Rebelia,kruegeri,,,,"Turati, 1914"
Psychidae,Rebelia,sapho,,,,"(Milli\u00e8re, 1864)"
Psychidae,Rebelia,surientella,,,,"(Bruand, 1858)"
Psychidae,Rebelia,thomanni,,,,"Rebel, 1937"
Zygaenidae,Rhagades,pruni,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Rheumaptera,cervinalis,,,,"(Scopoli, 1763)"
Geometridae,Rheumaptera,hastata,,,,"(Linnaeus, 1758)"
Geometridae,Rheumaptera,montivagata,,,,"(Duponchel, 1830)"
Geometridae,Rheumaptera,subhastata,,,,"(Nolcken, 1870)"
Geometridae,Rheumaptera,undulata,,,,"(Linnaeus, 1758)"
Geometridae,Rhinoprora,chloerata,,,,"(Mabille, 1870)"
Geometridae,Rhinoprora,debiliata,,,,"(H\u00fcbner, 1817)"
Geometridae,Rhinoprora,rectangulata,,,,"(Linnaeus, 1758)"
Noctuidae,Rhizedra,lutosa,,,,"(H\u00fcbner, 1803)"
Geometridae,Rhodometra,sacraria,,,,"(Linnaeus, 1767)"
Geometridae,Rhodostrophia,calabra,,,,"(Petagna, 1787)"
Geometridae,Rhodostrophia,pudorata,,,,"(Fabricius, 1794)"
Geometridae,Rhodostrophia,vibicaria,,,,"(Clerck, 1759)"
Geometridae,Rhoptria,asperaria,,,,"(H\u00fcbner, 1817)"
Noctuidae,Rhyacia,helvetina,,,,"(Boisduval, 1833)"
Noctuidae,Rhyacia,lucipeta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Rhyacia,simulans,,,,"(Hufnagel, 1766)"
Arctiidae,Rhyparia,purpurata,,,,"(Linnaeus, 1758)"
Noctuidae,Rivula,sericealis,,,,"(Scopoli, 1763)"
Noctuidae,Rusina,ferruginea,,,,"(Esper, 1785)"
Drepanidae,Sabra,harpagula,,,,"(Esper, 1786)"
Saturniidae,Samia,cynthia,,,,"(Drury, 1773)"
Saturniidae,Saturnia,pavonia,,,,"(Linnaeus, 1758)"
Saturniidae,Saturnia,pavoniella,,,,"(Scopoli, 1763)"
Saturniidae,Saturnia,pyri,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Satyrium,abdominalis,,,,"(Gerhard, [1850])"
Lycaenidae,Satyrium,acaciae,,,,"(Fabricius, 1787)"
Lycaenidae,Satyrium,esculi,,,,"(H\u00fcbner, 1804)"
Lycaenidae,Satyrium,guichardi,,,,"(Higgins, 1965)"
Lycaenidae,Satyrium,ilicis,,,,"(Esper, 1779)"
Lycaenidae,Satyrium,marcidus,,,,"(Riley, 1921)"
Lycaenidae,Satyrium,mardinus,,,,"van Oorschot, Van den Brink, van Oorschot, 1985"
Lycaenidae,Satyrium,mirabilis,,,,"(Erschoff, 1874)"
Lycaenidae,Satyrium,myrtale,,,,"(Klug, 1834)"
Lycaenidae,Satyrium,persepolis,,,,"Eckweiler & Hagen, 2003"
Lycaenidae,Satyrium,pruni,,,,"(Linnaeus, 1758)"
Lycaenidae,Satyrium,spini,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Satyrium,w-album,,,,"(Knoch, 1782)"
Nymphalidae,Satyrus,cordula,,,,"(Fabricius, 1793)"
Nymphalidae,Satyrus,ferula,,,,"(Fabricius, 1793)"
Noctuidae,Schinia,cardui,,,,"(H\u00fcbner, 1790)"
Noctuidae,Schinia,scutosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Schrankia,costaestrigalis,,,,"(Stephens, 1834)"
Noctuidae,Schrankia,taenialis,,,,"(H\u00fcbner, 1809)"
Geometridae,Sciadia,tenebraria,,,,"(Esper, 1806)"
Noctuidae,Scoliopteryx,libatrix,,,,"(Linnaeus, 1758)"
Lycaenidae,Scolitantides,orion,,,,"(Pallas, 1771)"
Geometridae,Scopula,caricaria,,,,"(Reutti, 1853)"
Geometridae,Scopula,corrivalaria,,,,"(Kretschmar, 1862)"
Geometridae,Scopula,decorata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Scopula,emutaria,,,,"(H\u00fcbner, 1809)"
Geometridae,Scopula,floslactata,,,,"(Haworth, 1809)"
Geometridae,Scopula,imitaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Scopula,immorata,,,,"(Linnaeus, 1758)"
Geometridae,Scopula,immutata,,,,"(Linnaeus, 1758)"
Geometridae,Scopula,incanata,,,,"(Linnaeus, 1758)"
Geometridae,Scopula,marginepunctata,,,,"(Goeze, 1781)"
Geometridae,Scopula,nemoraria,,,,"(H\u00fcbner, 1799)"
Geometridae,Scopula,nigropunctata,,,,"(Hufnagel, 1767)"
Geometridae,Scopula,ornata,,,,"(Scopoli, 1763)"
Geometridae,Scopula,rubiginata,,,,"(Hufnagel, 1767)"
Geometridae,Scopula,submutata,,,,"(Treitschke, 1828)"
Geometridae,Scopula,subpunctaria,,,,"(Herrich-Sch\u00e4ffer, 1847)"
Geometridae,Scopula,ternata,,,,"(Schrank, 1802)"
Geometridae,Scopula,umbelaria,,,,"(H\u00fcbner, 1813)"
Geometridae,Scopula,virgulata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Scotochrosta,pulla,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Scotopteryx,bipunctaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Scotopteryx,chenopodiata,,,,"(Linnaeus, 1758)"
Geometridae,Scotopteryx,coarctaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Scotopteryx,diniensis,,,,"(Neuburger, 1906)"
Geometridae,Scotopteryx,luridata,,,,"(Hufnagel, 1767)"
Geometridae,Scotopteryx,moeniata,,,,"(Scopoli, 1763)"
Geometridae,Scotopteryx,mucronata,,,,"(Scopoli, 1763)"
Geometridae,Scotopteryx,octodurensis,,,,"(Favre, 1903)"
Geometridae,Scotopteryx,peribolata,,,,"(H\u00fcbner, 1817)"
Geometridae,Scotopteryx,vicinaria,,,,"(Duponchel, 1830)"
Noctuidae,Sedina,buettneri,,,,"(E.Hering, 1858)"
Geometridae,Selenia,dentaria,,,,"(Fabricius, 1775)"
Geometridae,Selenia,lunularia,,,,"(H\u00fcbner, 1788)"
Geometridae,Selenia,tetralunaria,,,,"(Hufnagel, 1767)"
Geometridae,Selidosema,brunnearia,,,,"(de Villers, 1789)"
Geometridae,Selidosema,plumaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Selidosema,taeniolaria,,,,"(H\u00fcbner, 1813)"
Geometridae,Semiothisa,alternaria,,,,"(H\u00fcbner, 1809)"
Papilionidae,Sericinus,montela,,,,"Gray, 1852"
Noctuidae,Sesamia,cretica,,,,"Lederer, 1857"
Noctuidae,Sesamia,nonagrioides,,,,"Lefebvre, 1827"
Sesiidae,Sesia,apiformis,,,,"(Clerck, 1759)"
Sesiidae,Sesia,bembeciformis,,,,"(H\u00fcbner, 1806)"
Sesiidae,Sesia,melanocephala,,,,"Dalman, 1816"
Arctiidae,Setema,cereola,,,,"(H\u00fcbner, 1803)"
Arctiidae,Setina,alpestris,,,,"(Zeller, 1865)"
Arctiidae,Setina,aurita,,,,"(Esper, 1787)"
Arctiidae,Setina,irrorella,,,,"(Linnaeus, 1758)"
Arctiidae,Setina,roscida,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Shargacucullia,blattariae,,,,"(Esper, 1790)"
Noctuidae,Shargacucullia,caninae,,,,"(Rambur, 1833)"
Noctuidae,Shargacucullia,lychnitis,,,,"(Rambur, 1833)"
Noctuidae,Shargacucullia,prenanthis,,,,"(Boisduval, 1840)"
Noctuidae,Shargacucullia,scrophulariae,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Shargacucullia,thapsiphaga,,,,"(Treitschke, 1826)"
Noctuidae,Shargacucullia,verbasci,,,,"(Linnaeus, 1758)"
Noctuidae,Sideridis,albicolon,,,,"(H\u00fcbner, 1813)"
Noctuidae,Sideridis,anapheles,,,,"Nye, 1975"
Noctuidae,Sideridis,boursini,,,,"(Agenjo, 1941)"
Noctuidae,Sideridis,lampra,,,,"(Schawerda, 1913)"
Psychidae,Siederia,alpicolella,,,,"(Rebel, 1936)"
Psychidae,Siederia,pineti,,,,"(Zeller, 1852)"
Psychidae,Siederia,rupicolella,,,,"(Sauter, 1954)"
Noctuidae,Simplicia,rectalis,,,,"(Eversmann, 1842)"
Noctuidae,Simyra,albovenosa,,,,"(Goeze, 1781)"
Noctuidae,Simyra,nervosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Siona,lineata,,,,"(Scopoli, 1763)"
Sphingidae,Smerinthus,ocellata,,,,"(Linnaeus, 1758)"
Noctuidae,Spaelotis,ravida,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Spaelotis,senna,,,,"(Freyer, 1829)"
Geometridae,Spargania,luctuata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Notodontidae,Spatalia,argentina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Sphingidae,Sphinx,ligustri,,,,"Linnaeus, 1758"
Lymantriidae,Sphrageidus,similis,,,,"(Fuessly, 1775)"
Hesperiidae,Spialia,doris,,,,"(Walker, 1870)"
Hesperiidae,Spialia,orbifer,,,,"(H\u00fcbner, 1824)"
Hesperiidae,Spialia,osthelderi,,,,"(Pfeiffer, 1932)"
Hesperiidae,Spialia,phlomidis,,,,"(Herrich-Sch\u00e4ffer, [1845])"
Hesperiidae,Spialia,sao,,,,"(H\u00fcbner, 1803)"
Hesperiidae,Spialia,sertorius,,,,"(Hoffmannsegg, 1804)"
Hesperiidae,Spialia,therapne,,,,"(Rambur, 1832)"
Arctiidae,Spilosoma,lubricipeda,,,,"(Linnaeus, 1758)"
Arctiidae,Spilosoma,lutea,,,,"(Hufnagel, 1766)"
Arctiidae,Spilosoma,urticae,,,,"(Esper, 1789)"
Arctiidae,Spiris,striata,,,,"(Linnaeus, 1758)"
Noctuidae,Spodoptera,exigua,,,,"(H\u00fcbner, 1808)"
Noctuidae,Spodoptera,littoralis,,,,"(Boisduval, 1833)"
Noctuidae,Spudaea,ruticilla,,,,"(Esper, 1791)"
Noctuidae,Standfussiana,dalmata,,,,"(Staudinger, 1901)"
Noctuidae,Standfussiana,lucernea,cataleuca,,,"(Boisduval, 1833)"
Noctuidae,Standfussiana,nictymera,,,,"(Boisduval, 1834)"
Noctuidae,Standfussiana,wiskotti,,,,"(Standfuss, 1888)"
Noctuidae,Staurophora,celsia,,,,"(Linnaeus, 1758)"
Notodontidae,Stauropus,fagi,,,,"(Linnaeus, 1758)"
Geometridae,Stegania,cararia,,,,"(H\u00fcbner, 1790)"
Geometridae,Stegania,trimaculata,,,,"(Villers, 1789)"
Psychidae,Sterrhopterix,fusca,,,,"(Haworth, 1809)"
Psychidae,Sterrhopterix,standfussi,,,,"(Wocke, 1851)"
Noctuidae,Stilbia,anomala,,,,"Haworth, 1812"
Noctuidae,Sympistis,funebris,,,,"(H\u00fcbner, 1809)"
Noctuidae,Sympistis,funesta,,,,"Paykull, 1793"
Noctuidae,Sympistis,nigrita,,,,"(Boisduval, 1840)"
Sesiidae,Synansphecia,affinis,,,,"(Staudinger, 1856)"
Sesiidae,Synansphecia,leucomealana,,,,"Zeller, 1847"
Sesiidae,Synansphecia,muscaeformis,,,,"Esper, 1783"
Sesiidae,Synansphecia,triannuliformis,,,,"(Freyer, 1842)"
Sesiidae,Synanthedon,andrenaeformis,,,,"(Laspeyres, 1801)"
Sesiidae,Synanthedon,cephiformis,,,,"(Ochsenheimer, 1808)"
Sesiidae,Synanthedon,conopiformis,,,,"(Esper, 1783)"
Sesiidae,Synanthedon,culiciformis,,,,"(Linnaeus, 1758)"
Sesiidae,Synanthedon,flaviventris,,,,"(Staudinger, 1883)"
Sesiidae,Synanthedon,formicaeformis,,,,"(Esper, 1783)"
Sesiidae,Synanthedon,loranthi,,,,"(Kr\u00e1l\u00edcek, 1966)"
Sesiidae,Synanthedon,myopaeformis,,,,"(Borkhausen, 1789)"
Sesiidae,Synanthedon,polaris,,,,"(Staudinger, 1977)"
Sesiidae,Synanthedon,schwarzi,,,,"Kr\u00e1l\u00edcek & Povolny, 1977"
Sesiidae,Synanthedon,scoliaeformis,,,,"(Borkhausen, 1789)"
Sesiidae,Synanthedon,soffneri,,,,"Spatenka, 1983"
Sesiidae,Synanthedon,spheciformis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Sesiidae,Synanthedon,spuleri,,,,"(Fuchs, 1908)"
Sesiidae,Synanthedon,stomoxiformis,,,,"(H\u00fcbner, 1790)"
Sesiidae,Synanthedon,tipuliformis,,,,"(Clerck, 1759)"
Sesiidae,Synanthedon,vespiformis,,,,"(Linnaeus, 1761)"
Noctuidae,Syngrapha,ain,,,,"(Hochenwarth, 1785)"
Noctuidae,Syngrapha,devergens,,,,"(H\u00fcbner, 1813)"
Noctuidae,Syngrapha,hochenwarthi,,,,"Hochenwarth, 1785"
Noctuidae,Syngrapha,interrogationis,,,,"(Linnaeus, 1758)"
Geometridae,Synopsia,sociaria,,,,"(H\u00fcbner, 1799)"
Lycaenidae,Syntarucus,pirithous,,,,"(Linnaeus, 1767)"
Lycaenidae,Syntarucus,telicanus,,,,"(Lang, 1789)"
Arctiidae,Syntomis,kruegeri,,,,"(Ragusa, 1904)"
Psychidae,Taleporia,politella,clandestinella,,,"(Ochsenheimer, 1816)"
Psychidae,Taleporia,tubulosa,,,,"(Retzius, 1783)"
Geometridae,Tephrina,arenacearia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Tephrina,murinaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Tephronia,cremiaria,,,,"(Freyer, 1837)"
Geometridae,Tephronia,sepiaria,,,,"(Hufnagel, 1767)"
Drepanidae,Tethea,ocularis,,,,"(Linnaeus, 1767)"
Drepanidae,Tethea,or,,,,"(Denis & Schifferm\u00fcller, 1775)"
Drepanidae,Tetheella,fluctuosa,,,,"(H\u00fcbner, 1803)"
Geometridae,Thalera,fimbrialis,,,,"(Scopoli, 1763)"
Noctuidae,Thalpophila,matura,,,,"(Hufnagel, 1766)"
Noctuidae,Thalpophila,vitalba,,,,"Freyer, 1834"
Notodontidae,Thaumetopoea,pityocampa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Notodontidae,Thaumetopoea,processionea,,,,"(Linnaeus, 1758)"
Lycaenidae,Thecla,betulae,,,,"(Linnaeus, 1758)"
Geometridae,Thera,britannica,,,,"(Turner, 1925)"
Geometridae,Thera,cembrae,,,,"(Kitt, 1912)"
Geometridae,Thera,cognata,,,,"(Thunberg, 1792)"
Geometridae,Thera,cupressata,,,,"(Geyer, 1831)"
Geometridae,Thera,juniperata,,,,"(Linnaeus, 1758)"
Geometridae,Thera,obeliscata,,,,"(H\u00fcbner, 1787)"
Geometridae,Thera,stragulata,,,,"(H\u00fcbner, 1809)"
Geometridae,Thera,variata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Thera,vetustata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Theria,primaria,,,,"(Haworth, 1809)"
Geometridae,Theria,rupicapraria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Tholera,cespitis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Tholera,decimalis,,,,"(Poda, 1761)"
Arctiidae,Thumatha,senex,,,,"(H\u00fcbner, 1808)"
Drepanidae,Thyatira,batis,,,,"(Linnaeus, 1758)"
Hesperiidae,Thymelicus,acteon,,,,"(Rottemburg, 1775)"
Hesperiidae,Thymelicus,flavus,,,,"Br\u00fcnnich, 1763"
Hesperiidae,Thymelicus,hamza,,,,"(Oberth\u00fcr, 1876)"
Hesperiidae,Thymelicus,hyrax,,,,"(Lederer, 1861)"
Hesperiidae,Thymelicus,lineola,,,,"(Ochsenheimer, 1808)"
Hesperiidae,Thymelicus,sylvestris,,,,"(Poda, 1761)"
Thyrididae,Thyris,fenestrella,,,,"(Scopoli, 1763)"
Noctuidae,Thysanoplusia,daubei,,,,"(Boisduval, 1840)"
Noctuidae,Thysanoplusia,orichalcea,,,,"(Fabricius, 1775)"
Geometridae,Timandra,comae,,,,"A. Schmidt, 1931"
Geometridae,Timandra,griseata,,,,"Petersen W., 1902"
Noctuidae,Trachea,atriplicis,,,,"(Linnaeus, 1758)"
Noctuidae,Treitschkendia,tarsipennalis,,,,"(Treitschke, 1835)"
Lasiocampidae,Trichiura,ariae,,,,"(H\u00fcbner, 1824)"
Lasiocampidae,Trichiura,crataegi,,,,"(Linnaeus, 1758)"
Noctuidae,Trichoplusia,ni,,,,"(H\u00fcbner, 1803)"
Geometridae,Trichopteryx,carpinata,,,,"(Borkhausen, 1794)"
Geometridae,Trichopteryx,polycommata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Pantheidae,Trichosea,ludifica,,,,"(Linnaeus, 1758)"
Noctuidae,Trigonophora,empyrea,,,,"(H\u00fcbner, 1803)"
Noctuidae,Trigonophora,flammea,,,,"(Esper, 1785)"
Noctuidae,Trigonophora,jodea,,,,"(Herrich-Sch\u00e4ffer, 1850)"
Hepialidae,Triodia,sylvina,,,,"(Linnaeus, 1761)"
Geometridae,Triphosa,dubitata,,,,"(Linnaeus, 1758)"
Geometridae,Triphosa,sabaudiata,,,,"(Duponchel, 1830)"
Geometridae,Triphosa,tauteli,,,,"Leraut, 2008"
Noctuidae,Trisateles,emortualis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Psychidae,Typhonia,beatricis,,,,"H\u00e4ttenschwiler, 2000"
Psychidae,Typhonia,ciliaris,,,,"(Ochsenheimer, 1810)"
Arctiidae,Tyria,jacobaeae,,,,"(Linnaeus, 1758)"
Noctuidae,Tyta,luctuosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Ulochlaena,hirta,,,,"(H\u00fcbner, 1813)"
Arctiidae,Utetheisa,pulchella,,,,"(Linnaeus, 1758)"
Lycaenidae,Vacciniina,optilete,,,,"(Knoch, 1781)"
Noctuidae,Valeria,jaspidea,,,,"(Villers, 1789)"
Noctuidae,Valeria,oleagina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Vanessa,atalanta,,,,"(Linnaeus, 1758)"
Nymphalidae,Vanessa,cardui,,,,"(Linnaeus, 1758)"
Nymphalidae,Vanessa,indica,,,,"(Herbst, 1794)"
Nymphalidae,Vanessa,vulcania,,,,"(Godart, 1819)"
Geometridae,Venusia,cambrica,,,,"Curtis, 1839"
Drepanidae,Watsonalla,binaria,,,,"(Hufnagel, 1767)"
Drepanidae,Watsonalla,cultraria,,,,"(Fabricius, 1775)"
Drepanidae,Watsonalla,uncinula,,,,"(Borkhausen, 1790)"
Arctiidae,Watsonarctia,casta,,,,"(Esper, 1785)"
Noctuidae,Xanthia,aurago,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xanthia,citrago,,,,"(Linnaeus, 1758)"
Noctuidae,Xanthia,fulvago,,,,"Clerck, 1759"
Noctuidae,Xanthia,gilvago,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xanthia,icteritia,,,,"(Hufnagel, 1766)"
Noctuidae,Xanthia,ocellaris,,,,"(Borkhausen, 1792)"
Noctuidae,Xanthia,sulphurago,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xanthia,togata,,,,"(Esper, 1788)"
Geometridae,Xanthorhoe,biriviata,,,,"(Borkhausen, 1794)"
Geometridae,Xanthorhoe,decoloraria,,,,"(Esper, 1806)"
Geometridae,Xanthorhoe,designata,,,,"(Hufnagel, 1767)"
Geometridae,Xanthorhoe,ferrugata,,,,"(Clerck, 1759)"
Geometridae,Xanthorhoe,fluctuata,,,,"(Linnaeus, 1758)"
Geometridae,Xanthorhoe,incursata,,,,"(H\u00fcbner, 1813)"
Geometridae,Xanthorhoe,montanata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Xanthorhoe,munitata,,,,"(H\u00fcbner, 1809)"
Geometridae,Xanthorhoe,quadrifasciata,,,,"(Clerck, 1759)"
Geometridae,Xanthorhoe,spadicearia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xestia,agathina,,,,"(Duponchel, 1827)"
Noctuidae,Xestia,alpicola,riffelensis,,,"(Oberth\u00fcr, 1904)"
Noctuidae,Xestia,ashworthii,candelarum,,,"(Staudinger, 1871)"
Noctuidae,Xestia,baja,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xestia,c-nigrum,,,,"(Linnaeus, 1758)"
Noctuidae,Xestia,castanea,,,,"(Esper, 1796)"
Noctuidae,Xestia,cohaesa,,,,"Herrich-Sch\u00e4ffer, 1845"
Noctuidae,Xestia,collina,,,,"(Boisduval, 1840)"
Noctuidae,Xestia,ditrapezium,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xestia,lorezi,,,,"(Staudinger, 1891)"
Noctuidae,Xestia,ochreago,,,,"(H\u00fcbner, 1809)"
Noctuidae,Xestia,rhaetica,,,,"(Staudinger, 1871)"
Noctuidae,Xestia,rhomboidea,,,,"(Esper, 1790)"
Noctuidae,Xestia,sexstrigata,,,,"(Haworth, 1809)"
Noctuidae,Xestia,sincera,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Noctuidae,Xestia,speciosa,,,,"(H\u00fcbner, 1813)"
Noctuidae,Xestia,triangulum,,,,"(Hufnagel, 1766)"
Noctuidae,Xestia,xanthographa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Xylena,exsoleta,,,,"(Linnaeus, 1758)"
Noctuidae,Xylena,vetusta,,,,"(H\u00fcbner, 1813)"
Noctuidae,Xylocampa,areola,,,,"(Esper, 1789)"
Noctuidae,Xylocampa,lithoriza,,,,"(Borkhausen, 1792)"
Noctuidae,Yigoga,forcipula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Yigoga,nigrescens,,,,"(Hofner, 1888)"
Noctuidae,Yigoga,signifera,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Zanclognatha,lunalis,,,,"(Scopoli, 1763)"
Noctuidae,Zanclognatha,tarsipennalis,,,,"Treitschke, 1835"
Noctuidae,Zanclognatha,zelleralis,,,,"(Wocke, 1850)"
Papilionidae,Zerynthia,polyxena,,,,"(Denis & Schifferm\u00fcller, 1775)"
Papilionidae,Zerynthia,rumina,,,,"(Linnaeus, 1758)"
Cossidae,Zeuzera,pyrina,,,,"(Linnaeus, 1758)"
Zygaenidae,Zygaena,angelicae,,,,"Ochsenheimer, 1808"
Zygaenidae,Zygaena,carniolica,,,,"(Scopoli, 1763)"
Zygaenidae,Zygaena,ephialtes,,,,"(Linnaeus, 1767)"
Zygaenidae,Zygaena,erythrus,,,,"(H\u00fcbner, 1806)"
Zygaenidae,Zygaena,exulans,,,,"(Hohenwarth, 1792)"
Zygaenidae,Zygaena,fausta,,,,"(Linnaeus, 1767)"
Zygaenidae,Zygaena,filipendulae,,,,"(Linnaeus, 1758)"
Zygaenidae,Zygaena,hilaris,,,,"Ochsenheimer, 1808"
