Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Geometridae,Hypomecis,roboraria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Hyponephele,lycaon,,,,"(Rottemburg, 1775)"
Geometridae,Hypoxystis,pluviaria,,,,"(Fabricius, 1787)"
Noctuidae,Hyppa,rectilinea,,,,"(Esper, 1788)"
Noctuidae,Hyssia,cavernosa,,,,"(Eversmann, 1842)"
Geometridae,Idaea,antiquaria,,,,"(Herrich-Sch\u00e4ffer, 1847)"
Geometridae,Idaea,aureolaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Idaea,aversata,,,,"(Linnaeus, 1758)"
Geometridae,Idaea,biselata,,,,"(Hufnagel, 1767)"
Geometridae,Idaea,calunetaria,valesiaria,,,"(P\u00fcngeler, 1888)"
Geometridae,Idaea,contiguaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,degeneraria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,deversaria,,,,"(Herrich-Sch\u00e4ffer, 1847)"
Geometridae,Idaea,dilutaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,dimidiata,,,,"(Hufnagel, 1767)"
Geometridae,Idaea,distinctaria,,,,"(Boisduval, 1840)"
Geometridae,Idaea,emarginata,,,,"(Linnaeus, 1758)"
Geometridae,Idaea,filicata,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,flaveolaria,,,,"(H\u00fcbner, 1809)"
Geometridae,Idaea,fuscovenosa,,,,"(Goeze, 1781)"
Geometridae,Idaea,humiliata,,,,"(Hufnagel, 1767)"
Geometridae,Idaea,inquinata,,,,"(Scopoli, 1763)"
Geometridae,Idaea,laevigata,,,,"(Scopoli, 1763)"
Geometridae,Idaea,litigiosaria,,,,"(Boisduval, 1840)"
Geometridae,Idaea,macilentaria,,,,"(Herrich-Sch\u00e4ffer, 1846)"
Geometridae,Idaea,moniliata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Idaea,muricata,,,,"(Hufnagel, 1767)"
Geometridae,Idaea,nitidata,,,,"(Herrich-Sch\u00e4ffer, 1861)"
Geometridae,Idaea,obsoletaria,,,,"(Rambur, 1833)"
Geometridae,Idaea,ochrata,,,,"(Scopoli, 1763)"
Geometridae,Idaea,pallidata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Idaea,politaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,politata,,,,"(H\u00fcbner, 1793)"
Geometridae,Idaea,rubraria,,,,"(Staudinger, 1871)"
Geometridae,Idaea,rufaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,ruficostata,,,,"(Zeller, 1847)"
Geometridae,Idaea,rusticata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Idaea,seriata,,,,"(Schrank, 1802)"
Geometridae,Idaea,sericeata,,,,"(H\u00fcbner, 1813)"
Geometridae,Idaea,serpentata,,,,"(Hufnagel, 1767)"
Geometridae,Idaea,straminata,,,,"(Borkhausen, 1794)"
Geometridae,Idaea,subsericeata,,,,"(Haworth, 1809)"
Geometridae,Idaea,sylvestraria,,,,"(H\u00fcbner, 1799)"
Geometridae,Idaea,trigeminata,,,,"(Haworth, 1809)"
Geometridae,Idaea,typicata,,,,"(Guen\u00e9e, 1857)"
Geometridae,Idaea,vesubiata,,,,"(Milli\u00e8re, 1873)"
Geometridae,Idaea,vulpinaria,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Noctuidae,Idia,calvaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Inachis,io,,,,"(Linnaeus, 1758)"
Lycaenidae,Iolana,iolas,,,,"(Ochsenheimer, 1816)"
Papilionidae,Iphiclides,feisthamelii,,,,"(Duponchel, 1832)"
Papilionidae,Iphiclides,podalirinus,,,,"(Oberth\u00fcr, 1890)"
Papilionidae,Iphiclides,podalirius,,,,"(Linnaeus, 1758)"
Noctuidae,Ipimorpha,retusa,,,,"(Linnaeus, 1761)"
Noctuidae,Ipimorpha,subtusa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Issoria,lathonia,,,,"(Linnaeus, 1758)"
Geometridae,Isturgia,limbaria,,,,"(Fabricius, 1775)"
Geometridae,Itame,brunneata,,,,"(Thunberg, 1784)"
Noctuidae,Jodia,croceago,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Jodis,lactearia,,,,"(Linnaeus, 1758)"
Geometridae,Jodis,putata,,,,"(Linnaeus, 1758)"
Zygaenidae,Jordanita,chloros,,,,"(H\u00fcbner, 1813)"
Zygaenidae,Jordanita,globulariae,,,,"(H\u00fcbner, 1793)"
Zygaenidae,Jordanita,notata,,,,"(Zeller, 1847)"
Zygaenidae,Jordanita,subsolana,,,,"(Staudinger, 1862)"
Hepialidae,Korscheltellus,lupulina,,,,"(Linnaeus, 1758)"
Noctuidae,Lacanobia,aliena,,,,"(H\u00fcbner, 1809)"
Noctuidae,Lacanobia,contigua,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lacanobia,oleracea,,,,"(Linnaeus, 1758)"
Noctuidae,Lacanobia,splendens,,,,"(H\u00fcbner, 1808)"
Noctuidae,Lacanobia,suasa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lacanobia,thalassina,,,,"(Hufnagel, 1766)"
Noctuidae,Lacanobia,w-latinum,,,,"(Hufnagel, 1766)"
Cossidae,Lamellocossus,terebra,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Lampides,boeticus,,,,"(Linnaeus, 1767)"
Geometridae,Lampropteryx,otregiata,,,,"(Metcalfe, 1917)"
Geometridae,Lampropteryx,suffumata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lamprosticta,culta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lamprotes,c-aureum,,,,"(Knoch, 1781)"
Sphingidae,Laothoe,populi,,,,"(Linnaeus, 1758)"
Geometridae,Larentia,clavaria,,,,"(Haworth, 1809)"
Lasiocampidae,Lasiocampa,quercus,,,,"(Linnaeus, 1758)"
Lasiocampidae,Lasiocampa,trifolii,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Lasiommata,maera,,,,"(Linnaeus, 1758)"
Nymphalidae,Lasiommata,megera,,,,"(Linnaeus, 1767)"
Nymphalidae,Lasiommata,petropolitana,,,,"(Fabricius, 1787)"
Noctuidae,Lasionycta,calberlai,,,,"(Staudinger, 1883)"
Noctuidae,Lasionycta,proxima,,,,"(H\u00fcbner, 1809)"
Noctuidae,Laspeyria,flexula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Ledereragrotis,multifida,sanctmoritzi,,,"(Bang-Haas, 1906)"
Lemoniidae,Lemonia,dumi,,,,"(Linnaeus, 1761)"
Lemoniidae,Lemonia,taraxaci,,,,"(Denis & Schiff, 1775)"
Pieridae,Leptidea,amurensis,,,,"M\u00e9n\u00e9tri\u00e9s, 1859"
Pieridae,Leptidea,duponcheli,,,,"(Staundinger, 1871)"
Pieridae,Leptidea,gigantea,,,,"(Leech, 1890)"
Pieridae,Leptidea,juvernica,,,,"Williams, 1946"
Pieridae,Leptidea,morsei,,,,"Fenton, [1882]"
Pieridae,Leptidea,reali,,,,"Reissinger, 1989"
Pieridae,Leptidea,sinapis,,,,"(Linnaeus, 1758)"
Psychidae,Leptopterix,plumistrella,,,,"(H\u00fcbner, 1793)"
Lycaenidae,Leptotes,pirithous,,,,"(Linnaeus, 1767)"
Noctuidae,Leucania,obsoleta,,,,"(H\u00fcbner, 1803)"
